slug,title,date,Cost code, Invoiced Amount ,Invoice ,Year,link,blurb,
BeMore2019,2050,Friday 31st May 2019. (Yvonne),Be More Creative," £ 1,200.00 ",7,2019,,,
BirchesHead,Poison Palace , 22 March-2019,HH, £ 600.00 ,6,2019,https://www.amazon.co.uk/Poison-Palace-T-M-Cooks/dp/109123616X/ref=sr_1_24?qid=1579809804&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-24&text=T.M.+Cooks,"It's a palace of poison, what can I say? ",
BSDC2019,Hope , 15-February-2019,HH, £ 600.00 ,6,2019,https://www.amazon.co.uk/Hope-T-M-Cooks/dp/1796815535/ref=sr_1_26?qid=1579809804&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-26&text=T.M.+Cooks,Do the rights of the many outweigh the rights of the individual? Is it every acceptable for one person to suffer so that millions might live?,
CardinalNewman,The Waiting , 8-Mar-2019,HH, £ 600.00 ,6,2019,https://www.amazon.co.uk/Waiting-T-M-Cooks/dp/1799027244/ref=sr_1_23?qid=1579809804&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-23&text=T.M.+Cooks,Will tell you the plot later,
CCA2019,Pick `N' Mix: Do Animals Want to be Human? , 12-April-2019,HH, £ 600.00 ,6,2019,https://www.amazon.co.uk/Pick-Mix-Animals-Want-Human/dp/1093586915/ref=sr_1_20?qid=1579809804&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-20&text=T.M.+Cooks,Spoiler alert; maybe! ,
domesday ,Embers of Mercy , 22nd February-2019,internal,,,2019,,,
Etruscan2019,One Day or No Day,Friday 30th January ,Yvonne,,,2019,9-Feb-18,,
Haywood2019,Patient Zero , 1st February-2019,HH, £ 600.00 ,6,2019,https://www.amazon.co.uk/Patient-Zero-T-M-Cooks/dp/1795553626/ref=sr_1_29?qid=1579809804&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-29&text=T.M.+Cooks,The world was on the edge of extinction from one little monkey and one boy that wanted service on his phone,
LF2019,Unplugged,Friday 30th January 2015.,HH, £ 600.00 ,6,2019,,,
Liverpool2019,Mysticus ,1/17/2019,internal,,,2019,https://www.amazon.co.uk/Mysticus-T-M-Cooks/dp/1795831502/ref=sr_1_27?qid=1579809804&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-27&text=T.M.+Cooks,"After troubles at home, the children retreat to an abandoned building. Here they stumble across a Magical, Mystical World. As they explore all sorts of weird and wonderful lands, there’s excitement, love, sadness and anger as they explore their new world.",
Rudheath2019,The Secret , 8-February-2019,HH, £ 600.00 ,6,2019,https://www.amazon.co.uk/Secret-T-M-Cooks/dp/1796359262/ref=sr_1_25?qid=1579809804&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-25&text=T.M.+Cooks,Can't tell you. ,
SJF2019,File Corrupted , 18-January-2019,HH, £ 600.00 ,4,2019,https://www.amazon.co.uk/File-Corrupted-T-M-Cooks/dp/1794239987/ref=sr_1_30?qid=1579809804&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-30&text=T.M.+Cooks,"A story in which no one knows who is good or bad. When the thing you think will be around forever disappears like a speck of dust.Mystery events happen one after the other, and families are reunited. Who will survive?Will the world ever be the same again?",
STB2019,Abandoned, 25-January-2019,HH, £ 600.00 ,inv2018_80,2019,https://www.amazon.co.uk/Abandoned-T-M-Cooks/dp/1795018992/ref=sr_1_28?qid=1579809804&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-28&text=T.M.+Cooks,"Abandonment has long-lasting consequences. For the self, and for society.",
TGS2019A,Paint Drying,Friday 29th March 2019. (Internal) ,internal,,,2019,https://www.amazon.co.uk/Paint-Drying-T-M-Cooks/dp/1092111476/ref=sr_1_22?qid=1579809804&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-22&text=T.M.+Cooks,"The paint, it dries",
TGS2019B,The Chosen One , 29-March-2019,internal,,,2019,https://www.amazon.co.uk/Chosen-One-T-M-Cooks/dp/109211033X/ref=sr_1_21?qid=1579809804&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-21&text=T.M.+Cooks,One was choosen,
